ID0001,Item1,761.0,2025-10-26
ID0002,Item2,221.0,2025-08-07
ID0003,Item3,180.0,2025-05-06
ID0004,Item4,12.0,2025-03-11
ID0005,Item5,70.0,2025-04-03
ID0006,Item6,606.0,2025-07-14
ID0007,Item7,497.0,2025-12-08
ID0008,Item8,26.0,2025-08-19
ID0009,Item9,477.0,2025-11-03
ID0010,Item10,246.0,2025-06-02
ID0011,Item11,620.0,2025-10-18
ID0012,Item12,349.0,2026-02-20
ID0013,Item13,46.0,2025-05-12
ID0014,Item14,476.0,2025-04-16
ID0015,Item15,496.0,2025-10-18
ID0016,Item16,137.0,2026-02-01
ID0017,Item17,731.0,2025-11-19
ID0018,Item18,58.0,2026-01-30
ID0019,Item19,662.0,2025-04-27
ID0020,Item20,748.0,2025-03-30
ID0021,Item21,22.0,2025-10-03
ID0022,Item22,26.0,2025-10-14
ID0023,Item23,881.0,2025-08-19
ID0024,Item24,492.0,2025-05-15
ID0025,Item25,458.0,2025-05-09
ID0026,Item26,854.0,2025-06-23
ID0027,Item27,523.0,2025-06-22
ID0028,Item28,250.0,2025-06-19
ID0029,Item29,631.0,2025-06-22
ID0030,Item30,32.0,2026-01-24
ID0031,Item31,221.0,2025-05-08
ID0032,Item32,857.0,2025-10-22
ID0033,Item33,894.0,2025-11-14
ID0034,Item34,270.0,2025-04-04
ID0035,Item35,536.0,2025-11-09
ID0036,Item36,440.0,2025-05-09
ID0037,Item37,476.0,2025-08-10
ID0038,Item38,620.0,2025-12-30
ID0039,Item39,526.0,2025-07-21
ID0040,Item40,100.0,2025-10-13
ID0041,Item41,758.0,2025-07-05
ID0042,Item42,905.0,2025-07-30
ID0043,Item43,725.0,2025-05-07
ID0044,Item44,669.0,2025-11-19
ID0045,Item45,942.0,2025-04-18
ID0046,Item46,137.0,2025-08-29
ID0047,Item47,727.0,2025-11-09
ID0048,Item48,770.0,2025-05-21
ID0049,Item49,833.0,2025-09-20
ID0050,Item50,236.0,2026-02-11
