ID,NAME,VALUE,DATE,DOUBLED_VALUE,SQUARED_VALUE
ID0001,ITEM1,761.0,10/26/2025,1522.0,579121.0
ID0002,ITEM2,221.0,08/07/2025,442.0,48841.0
ID0003,ITEM3,180.0,05/06/2025,360.0,32400.0
ID0004,ITEM4,12.0,03/11/2025,24.0,144.0
ID0005,ITEM5,70.0,04/03/2025,140.0,4900.0
ID0006,ITEM6,606.0,07/14/2025,1212.0,367236.0
ID0007,ITEM7,497.0,12/08/2025,994.0,247009.0
ID0008,ITEM8,26.0,08/19/2025,52.0,676.0
ID0009,ITEM9,477.0,11/03/2025,954.0,227529.0
ID0010,ITEM10,246.0,06/02/2025,492.0,60516.0
ID0011,ITEM11,620.0,10/18/2025,1240.0,384400.0
ID0012,ITEM12,349.0,02/20/2026,698.0,121801.0
ID0013,ITEM13,46.0,05/12/2025,92.0,2116.0
ID0014,ITEM14,476.0,04/16/2025,952.0,226576.0
ID0015,ITEM15,496.0,10/18/2025,992.0,246016.0
ID0016,ITEM16,137.0,02/01/2026,274.0,18769.0
ID0017,ITEM17,731.0,11/19/2025,1462.0,534361.0
ID0018,ITEM18,58.0,01/30/2026,116.0,3364.0
ID0019,ITEM19,662.0,04/27/2025,1324.0,438244.0
ID0020,ITEM20,748.0,03/30/2025,1496.0,559504.0
ID0021,ITEM21,22.0,10/03/2025,44.0,484.0
ID0022,ITEM22,26.0,10/14/2025,52.0,676.0
ID0023,ITEM23,881.0,08/19/2025,1762.0,776161.0
ID0024,ITEM24,492.0,05/15/2025,984.0,242064.0
ID0025,ITEM25,458.0,05/09/2025,916.0,209764.0
ID0026,ITEM26,854.0,06/23/2025,1708.0,729316.0
ID0027,ITEM27,523.0,06/22/2025,1046.0,273529.0
ID0028,ITEM28,250.0,06/19/2025,500.0,62500.0
ID0029,ITEM29,631.0,06/22/2025,1262.0,398161.0
ID0030,ITEM30,32.0,01/24/2026,64.0,1024.0
ID0031,ITEM31,221.0,05/08/2025,442.0,48841.0
ID0032,ITEM32,857.0,10/22/2025,1714.0,734449.0
ID0033,ITEM33,894.0,11/14/2025,1788.0,799236.0
ID0034,ITEM34,270.0,04/04/2025,540.0,72900.0
ID0035,ITEM35,536.0,11/09/2025,1072.0,287296.0
ID0036,ITEM36,440.0,05/09/2025,880.0,193600.0
ID0037,ITEM37,476.0,08/10/2025,952.0,226576.0
ID0038,ITEM38,620.0,12/30/2025,1240.0,384400.0
ID0039,ITEM39,526.0,07/21/2025,1052.0,276676.0
ID0040,ITEM40,100.0,10/13/2025,200.0,10000.0
ID0041,ITEM41,758.0,07/05/2025,1516.0,574564.0
ID0042,ITEM42,905.0,07/30/2025,1810.0,819025.0
ID0043,ITEM43,725.0,05/07/2025,1450.0,525625.0
ID0044,ITEM44,669.0,11/19/2025,1338.0,447561.0
ID0045,ITEM45,942.0,04/18/2025,1884.0,887364.0
ID0046,ITEM46,137.0,08/29/2025,274.0,18769.0
ID0047,ITEM47,727.0,11/09/2025,1454.0,528529.0
ID0048,ITEM48,770.0,05/21/2025,1540.0,592900.0
ID0049,ITEM49,833.0,09/20/2025,1666.0,693889.0
ID0050,ITEM50,236.0,02/11/2026,472.0,55696.0
